City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Patricio,US,2021-03-28 19:47:19,28.017,-97.5169,69.8,52,90,21.85
68,Bembereke,BJ,2021-03-28 19:47:19,10.2283,2.6634,83.3,14,0,4.18
69,Norman Wells,CA,2021-03-28 19:47:19,65.282,-126.8329,-4.0,65,75,19.57
70,Georgetown,MY,2021-03-28 19:47:20,5.4112,100.3354,78.8,94,20,1.14
71,Bambous Virieux,MU,2021-03-28 19:47:20,-20.3428,57.7575,78.01,88,20,4.61
72,Mahebourg,MU,2021-03-28 19:46:17,-20.4081,57.7,77.0,88,20,4.61
73,Moundou,TD,2021-03-28 19:47:20,8.5667,16.0833,85.93,39,43,1.07
74,Faanui,PF,2021-03-28 19:47:20,-16.4833,-151.75,82.53,73,16,22.3
75,Nikolskoye,RU,2021-03-28 19:47:21,59.7035,30.7861,41.0,87,90,4.5
76,Cayenne,GF,2021-03-28 19:47:21,4.9333,-52.3333,82.4,74,75,14.97
77,Lata,PT,2021-03-28 19:47:21,40.1629,-8.3327,59.0,80,69,2.33
78,Biu,NG,2021-03-28 19:47:22,10.6129,12.1946,78.58,18,0,11.83
79,Tual,ID,2021-03-28 19:47:22,-5.6667,132.75,83.16,76,100,16.28
80,Butaritari,KI,2021-03-28 19:47:22,3.0707,172.7902,81.46,74,74,12.82
81,Cradock,ZA,2021-03-28 19:47:22,-32.1642,25.6192,59.95,68,100,4.14
82,Barrow,US,2021-03-28 19:47:23,71.2906,-156.7887,-25.6,68,20,10.36
83,Thompson,CA,2021-03-28 19:47:23,55.7435,-97.8558,28.4,43,75,6.91
84,Jerome,US,2021-03-28 19:47:23,42.7241,-114.5186,68.0,24,1,8.05
85,Atuona,PF,2021-03-28 19:47:23,-9.8,-139.0333,81.1,72,100,17.69
86,Tiksi,RU,2021-03-28 19:47:24,71.6872,128.8694,1.63,99,100,1.72
87,Cockburn Town,TC,2021-03-28 19:47:24,21.4612,-71.1419,80.6,65,40,18.41
88,Komsomolskiy,UZ,2021-03-28 19:47:24,40.4272,71.7189,50.0,93,75,2.3
89,Upernavik,GL,2021-03-28 19:46:41,72.7868,-56.1549,-17.7,80,24,2.44
90,Saskylakh,RU,2021-03-28 19:47:25,71.9167,114.0833,-4.18,99,98,2.19
91,Hermanus,ZA,2021-03-28 19:47:25,-34.4187,19.2345,68.0,70,100,5.01
92,Constitucion,CL,2021-03-28 19:44:19,-35.3333,-72.4167,67.5,47,0,3.67
93,Ribeira Grande,PT,2021-03-28 19:47:25,38.5167,-28.7,60.8,77,40,11.5
94,Seoul,KR,2021-03-28 19:46:28,37.5683,126.9778,50.0,93,90,5.75
95,Virginia Beach,US,2021-03-28 19:47:00,36.8529,-75.978,84.2,48,75,20.71
